"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"Avrorra.com - Ежедневный журнал о красоте, моде, стиле...","avrorra.com","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","3941","5050","00:01:24","0.0","507"
"«Woman Hit» — женский онлайн-журнал","womanhit.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","3901","4800","00:01:47","0.0","521"
"«Зарплата.ру» — база резюме и вакансий","zarplata.ru","Работа и карьера, Работа и карьера->Вакансии и резюме","Агрегаторы","да","3850","5350","00:05:28","0.0","520"
"Клео — ежедневный женский сетевой журнал","kleo.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","3818","4800","00:00:55","0.0","442"
"«РЕН ТВ» — телеканал","ren.tv","Новости и СМИ, Новости и СМИ->Телевидение","Новости","да","3818","4800","00:01:05","0.0","498"
"«Юлмарт» - Интернет-Магазин №1 в России","ulmart.ru","Торговля->Электронная техника, Торговля","Интернет-магазины","да","3807","4950","00:08:41","0.0","525"
"Женский журнал NeoLove.RU, а так же бесплатный сайт...","neolove.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","3803","5150","00:03:14","0.0","451"
"Кулинарные рецепты и мастер классы - Алимеро","alimero.ru","Домашнее хозяйство->Кулинария и рецепты, Домашнее хозяйство","Контентные проекты","да","3776","4600","00:01:10","0.0","442"
"Актуальные новости","actualnews.org","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","3734","4650","00:01:09","0.0","488"
"«Дождь» — телеканал","tvrain.ru","Новости и СМИ, Новости и СМИ->Телевидение","Новости","да","3726","4750","00:05:16","0.0","585"
"ОТЗЫВ.Ру: Отзывы туристов | Новинки кино | Авто отзывы","otzyv.ru","Путешествия->Туры и экскурсии, Путешествия","Сообщества","да","3689","4700","00:05:08","0.0","516"
"Женский портал Woman365.ru","woman365.ru","Домашнее хозяйство","Контентные проекты","да","3652","4450","00:01:11","0.0","433"
"Lostfilm.tv — портал о зарубежных сериалах","lostfilm.tv","Развлечения и отдых->Фильмы онлайн, Развлечения и отдых","Видео","да","3522","4450","00:05:34","0.0","691"
"Новости кинематографа и телевидения. — Рамблер/кино","kino.rambler.ru","Развлечения и отдых->Фильмы онлайн, Развлечения и отдых","Видео","да","3521","4400","00:02:35","0.0","525"
"HipDir — заведения и услуги Москвы","hipdir.com","Справочные ресурсы","Агрегаторы","да","3442","4250","00:02:29","0.0","419"
"Novate.ru — сайт о дизайне и искусстве","novate.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Контентные проекты","да","3441","4300","00:01:38","0.0","438"
"Справочник минимальных цен Москвы","minimum-price.ru","","Контентные проекты","да","3393","4500","00:01:30","0.0","391"
"Яндекс.Толока - заработок в интернете без вложений","toloka.yandex.ru","Работа и карьера->Работа в интернете, Работа и карьера","Сервисы","да","3379","4750","00:45:30","0.5454545454545454","594"
"«Росбалт» — информационное агентство","rosbalt.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","3320","4200","00:01:02","0.0","378"
"Cataloxy - каталог фирм и организаций, бесплатное...","cataloxy.ru","Бизнес->Реклама и маркетинг, Бизнес","Агрегаторы","да","3231","3950","00:01:16","0.0","410"
