"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"«Евро-футбол.ру» — новости футбола России и Европы","euro-football.ru","Спорт и активный образ жизни, Спорт и активный образ жизни->Футбол","Новости","да","5829","7500","00:02:03","0.0","875"
"Юридическая консультация онлайн","9111.ru","","Сообщества","да","5798","7350","00:03:11","0.0","733"
"Ferra — интернет-издание - Ferra.ru","ferra.ru","Техника и технологии","Контентные проекты","да","5685","7200","00:00:59","0.0","691"
"У нас можно читать Мангу для взрослых онлайн на Русском.","mintmanga.com","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","5682","7950","01:08:52","0.0","1627"
"Тонкости туризма — энциклопедия для туристов","tonkosti.ru","Путешествия->Туры и экскурсии, Путешествия","Контентные проекты","да","5487","7250","00:02:21","0.0","681"
"Car.ru — автомобильный портал","car.ru","Авто и мото->Издания об автомобилях, Авто и мото, Авто и мото->Продажа автомобилей и мотоциклов, Торговля->Продажа автомобилей и мотоциклов, Новости и СМИ->Издания об автомобилях, Новости и СМИ, Авто и мото->Автомобили, Торговля","Контентные проекты","да","5388","6800","00:02:31","0.0","723"
"Новости InfoNIAC.ru","infoniac.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","5270","6500","00:01:09","0.0","613"
"Бизнес идеи с нуля, Бизнес планы, Деньги, Как открыть...","businessman.ru","Бизнес->Организация бизнеса, Бизнес","Контентные проекты","да","5185","7050","00:01:15","0.0","654"
"Экспресс газета - сетевое издание | EG.RU","eg.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","4975","6200","00:01:42","0.0","622"
"Информационный портал телерадиокомпании «Мир»","mir24.tv","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Новости и СМИ->Телевидение, Бизнес->Деловые новости","Новости","да","4897","6000","00:00:58","0.0","590"
"Яндекс.Толока - заработок в интернете без вложений","toloka.yandex.ru","Работа и карьера->Работа в интернете, Работа и карьера","Сервисы","да","4883","7400","00:52:00","0.6379310344827587","860"
"«Домофонд» — платформа для подбора недвижимости","domofond.ru","Недвижимость, Недвижимость->Жилая недвижимость","Агрегаторы","да","4788","6600","00:12:05","0.0","704"
"«Soccer.ru» — новости футбола России и Европы","soccer.ru","Спорт и активный образ жизни, Спорт и активный образ жизни->Футбол","Новости","да","4549","7550","00:22:09","0.0","1077"
"Все новости столицы, России и мира - Вечерняя Москва","vm.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","4439","5600","00:01:27","0.0","562"
"Дом солнца — эзотерический портал","sunhome.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","4348","5650","00:02:25","0.0","553"
"«НГС.Новосибирск» — городской портал","ngs.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","4271","5400","00:02:37","0.0","557"
"Psychologies — журнал","psychologies.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","4150","5350","00:01:36","0.0","488"
"«Passion.ru» — онлайн-журнал для женщин","passion.ru","Здоровье, красота, стиль","Контентные проекты","да","4147","5250","00:01:37","0.0","507"
"«Утро.ru» — ежедневная электронная газета","utro.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","3901","4850","00:00:35","0.0","479"
"«Колёса» — автомобильный онлайн-журнал","kolesa.ru","Авто и мото->Издания об автомобилях, Авто и мото, Новости и СМИ->Издания об автомобилях, Новости и СМИ","Контентные проекты","да","3897","4850","00:01:48","0.0","484"
"Attuale.ru","attuale.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","3859","4700","00:01:15","0.0","465"
"GQ — мужской журнал","gq.ru","Здоровье, красота, стиль, Новости и СМИ","Контентные проекты","да","3852","5150","00:03:33","0.0","562"
"Драйв — автомобильный интернет-журнал","drive.ru","Авто и мото, Авто и мото->Автомобили","Контентные проекты","да","3840","5250","00:06:42","0.0","601"
"Футбол России","rusfootball.info","Спорт и активный образ жизни, Спорт и активный образ жизни->Футбол","Контентные проекты","да","3840","5200","00:02:28","0.0","668"
"Скрытые друзья ВКонтакте в открытом доступе","220vk.com","","Сервисы","да","3812","6250","00:34:46","0.0","1248"
"DISGUSTING MEN. Отвратительные мужики. 18+","disgustingmen.com","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","3781","5500","00:05:00","0.0","582"
"«Сплетник» — сайт о знаменитостях и светской жизни","spletnik.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Контентные проекты","да","3768","4800","00:01:35","0.0","469"
"Мотор — автомобильный портал — Motor","motor.ru","Авто и мото, Авто и мото->Автомобили","Контентные проекты","да","3732","4900","00:03:30","0.0","576"
"Бухучет, налогообложение и аудит РФ","audit-it.ru","Финансы->Финансовые новости, Новости и СМИ->Финансовые новости, Новости и СМИ, Финансы","Сервисы","да","3712","5100","00:02:09","0.0","487"
"Novate.ru — сайт о дизайне и искусстве","novate.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Контентные проекты","да","3608","4400","00:01:46","0.0","493"
"«Телепрограмма» — онлайн-версия женского журнала","teleprogramma.pro","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","3605","4550","00:01:28","0.0","479"
"Кьюто.ру — помощь в выборе нового автомобиля","quto.ru","Авто и мото, Авто и мото->Автомобили","Агрегаторы","да","3603","4550","00:01:33","0.0","470"
"Россия — государственный телеканал","russia.tv","Новости и СМИ, Новости и СМИ->Телевидение","Представительства бизнесов и организаций","да","3562","4500","00:02:46","0.0","525"
"Яндекс.Интернетометр — проверка скорости интернета","yandex.ru/internet","Техника и технологии, Техника и технологии->Интернет-сервисы","Сервисы","да","3533","5300","00:07:23","0.0","565"
"Wonderzine — онлайн-издание для девушек","wonderzine.com","Здоровье, красота, стиль->Гид по стилю, советы и уроки, Здоровье, красота, стиль","Контентные проекты","да","3482","4400","00:03:31","0.0","456"
"Eurasia Daily — информационное агентство","eadaily.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","3480","4400","00:01:24","0.0","461"
"«Астромеридиан» — астрологический портал","astromeridian.ru","Непознанное->Астрология и гороскопы, Непознанное","Контентные проекты","да","3396","4500","00:01:07","0.0","442"
"«Фонтанка.ру» — петербургская интернет-газета","fontanka.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","3278","4050","00:01:39","0.0","465"
"RUPOSTERS - новости, которые вы заслужили!","ruposters.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","3273","4300","00:01:05","0.0","433"
"«РЕН ТВ» — телеканал","ren.tv","Новости и СМИ, Новости и СМИ->Телевидение","Новости","да","3199","4400","00:02:07","0.0","477"
"«Playboy» — журнал","playboyrussia.com","Для взрослых (18+), Для взрослых (18+)->Литература 18+","Контентные проекты","да","3195","4000","00:00:55","0.0","396"
"«Wmj.ru» — женский онлайн-журнал","wmj.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","3192","4100","00:01:39","0.0","396"
"«Аргументы недели» — еженедельная газета","argumenti.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","3067","3850","00:01:42","0.0","387"
"«Росбалт» — информационное агентство","rosbalt.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","3018","3900","00:01:07","0.0","372"
"Новости Уфы и Республики Башкортостан: GTRK.TV","gtrk.tv","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","2988","3650","00:00:18","0.0","359"
"Справочник организаций Россиии и СНГ - адреса...","jsprav.ru","Справочные ресурсы, Справочные ресурсы->Желтые страницы","Контентные проекты","да","2937","3950","00:01:48","0.0","368"
"«Newsru.com» — новостной портал","newsru.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","2930","4000","00:06:38","0.0","537"
"ELLE.ru – мода, красота, тренды, звезды, отношения","elle.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","2891","3750","00:01:40","0.0","355"
"«Зарплата.ру» — база резюме и вакансий","zarplata.ru","Работа и карьера, Работа и карьера->Вакансии и резюме","Агрегаторы","да","2859","4400","00:08:26","0.0","396"
"Ранобэ и Новеллы читать онлайн на русском","ранобэ.рф","Развлечения и отдых","Контентные проекты","да","2831","4850","08:47:46","0.0","1513"
"«Нижний Новгород онлайн» — городской портал","nn.ru","Новости и СМИ","Новости","да","2820","3600","00:01:10","0.0","322"
"Avrorra.com - Ежедневный журнал о красоте, моде, стиле...","avrorra.com","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","2739","3350","00:01:00","0.0","345"
"Футбол онлайн, прямые трансляции... - LiveResult","liveresult.ru","Спорт и активный образ жизни, Спорт и активный образ жизни->Футбол","Видео","да","2639","3500","00:18:05","0.0","488"
"Avia.pro - портал по авиации №1","avia.pro","Транспорт, перевозки, Транспорт, перевозки->Воздушный транспорт","Контентные проекты","да","2614","3200","00:01:05","0.0","336"
"Новости кинематографа и телевидения. — Рамблер/кино","kino.rambler.ru","Развлечения и отдых->Фильмы онлайн, Развлечения и отдых","Видео","да","2531","3200","00:02:11","0.0","304"
"«Time Out» — развлекательный журнал","timeout.ru","Развлечения и отдых, Развлечения и отдых->Афиша и продажа билетов","Контентные проекты","да","2531","3100","00:01:49","0.0","318"
"НеБолеем.net – портал о медицине и здоровом образе...","neboleem.net","Медицина->Болезни, Медицина","Контентные проекты","да","2490","3000","00:00:40","0.0","276"
