"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"Starhit.ru — портал о жизни звезд","starhit.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","89779","127450","00:02:42","0.0","5291"
"Ридус — агентство гражданской журналистики","ridus.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","89527","120850","00:04:58","0.0","6076"
"«Кино-театр.ру» — портал о кино и театре","kino-teatr.ru","Культура и искусство, Культура и искусство->Кино","Новости","да","87191","119550","00:03:15","0.0","3905"
"«Узнай все» — ежедневное электронное издание","uznayvse.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","86777","115550","00:01:41","0.0","3606"
"«Дождь» — телеканал","tvrain.ru","Новости и СМИ, Новости и СМИ->Телевидение","Новости","да","85937","119900","00:06:01","0.0","5384"
"«Cosmopolitan Россия» — женский журнал","cosmo.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","84906","114650","00:02:38","0.0","4075"
"Car.ru — автомобильный портал","car.ru","Авто и мото->Издания об автомобилях, Авто и мото, Авто и мото->Продажа автомобилей и мотоциклов, Торговля->Продажа автомобилей и мотоциклов, Новости и СМИ->Издания об автомобилях, Новости и СМИ, Авто и мото->Автомобили, Торговля","Контентные проекты","да","84245","114600","00:02:30","0.0","4444"
"Женский журнал WomanAdvice.ru - советы на все случаи...","womanadvice.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","84155","116100","00:03:51","0.0","4412"
"«Wday.ru» — информационный женский портал","wday.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","82912","124900","00:03:17","0.0","3476"
"Яндекс.Радио — музыкальный сервис","radio.yandex.ru","Развлечения и отдых, Развлечения и отдых->Музыка онлайн","Сервисы","да","80105","116100","08:03:34","0.6051364365971108","18340"
"SYL.ru","syl.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","78052","105850","00:01:49","0.0","3042"
"«7я.ру» — портал о детях и семье","7ya.ru","Семья и дети, Семья и дети->Развитие и воспитание детей","Контентные проекты","да","76448","103100","00:01:53","0.0","3748"
"Амальгама — лингво-лаборатория","amalgama-lab.com","Образование->Иностранные языки, Образование","Контентные проекты","да","76052","108300","00:04:13","0.0","4263"
"Rlsnet.ru — энциклопедия лекарств","rlsnet.ru","Справочные ресурсы, Справочные ресурсы->Энциклопедии","Контентные проекты","да","75661","106100","00:03:28","0.0","4206"
"Экспресс газета - сетевое издание | EG.RU","eg.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","74026","98900","00:01:59","0.0","3614"
"Футбол России","rusfootball.info","Спорт и активный образ жизни, Спорт и активный образ жизни->Футбол","Контентные проекты","да","73144","104150","00:06:47","0.0","6226"
"«Фонтанка.ру» — петербургская интернет-газета","fontanka.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","72953","100050","00:03:20","0.0","3632"
