"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"Официальный сайт женского журнала «Лиза» – Lisa.ru","lisa.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","41585","54200","00:02:11","0.0","2033"
"Дом солнца — эзотерический портал","sunhome.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","40832","55250","00:03:15","0.0","1865"
"Россия — государственный телеканал","russia.tv","Новости и СМИ, Новости и СМИ->Телевидение","Представительства бизнесов и организаций","да","40341","53200","00:04:27","0.0","2497"
"«Дождь» — телеканал","tvrain.ru","Новости и СМИ, Новости и СМИ->Телевидение","Новости","да","39540","54150","00:09:22","0.0","2606"
"Marie Claire — женский онлайн-журнал","marieclaire.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","39471","58600","00:08:48","0.0","2259"
"Ридус — агентство гражданской журналистики","ridus.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","39298","50750","00:04:17","0.0","2494"
"Ростелеком - информационный портал об услугах доступа в интернет, Интерактивного ТВ и телефонной связи","rt.ru","Услуги","Представительства бизнесов и организаций","да","39049","54850","00:04:59","0.0","2090"
"«Нижний Новгород онлайн» — городской портал","nn.ru","Новости и СМИ","Новости","да","38315","54050","00:05:38","0.0","1515"
"«Vogue» — журнал","vogue.ru","Здоровье, красота, стиль, Новости и СМИ","Контентные проекты","да","37415","52850","00:07:45","0.0","2509"
"«НГС.Новосибирск» — городской портал","ngs.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","35371","47000","00:07:37","0.0","1683"
"Юридическая консультация онлайн","9111.ru","","Сообщества","да","34817","45450","00:04:11","0.0","1658"
"Новости InfoNIAC.ru","infoniac.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","34635","45050","00:01:35","0.0","1417"
"«Юлмарт» - Интернет-Магазин №1 в России","ulmart.ru","Торговля->Электронная техника, Торговля","Интернет-магазины","да","34121","46000","00:07:33","0.0","1595"
"Бизнес идеи с нуля, Бизнес планы, Деньги, Как открыть...","businessman.ru","Бизнес->Организация бизнеса, Бизнес","Контентные проекты","да","33656","47350","00:01:21","0.0","1294"
"Аптека тяньши: Здоровый образ жизни, альтернативная...","tiensmed.ru","Медицина->Лекарства и медицинские товары, Торговля->Лекарства и медицинские товары, Медицина, Торговля","Контентные проекты","да","33525","43700","00:01:28","0.0","1381"
